Issue,Storypoint
"Add CA against object literals in function invocations
{html}<div><p>The idea here is that if our metadata captures a type as function arg, we should be able to create an instance of that type as an object literal as an arg to a function invocation. For example:</p> <pre> <code>Ti.UI.createLabel( { &lt;property-ca-here&gt; } );</code> </pre></div>{html}",1
"Update branding for Appcelerator plugin to Appcelerator logo 
{html}<div><p>At least fix feature icons, associated natures. Perhaps other screens as well.</p></div>{html}",1
"Create new JSON schema for SDK team
{html}<div><p>Create JSON schema containing properties required for proper CA. Hand schema to Platform team to output new docs/JSON files as part of new SDK releases. It may be that instead we can use the vsdoc format, in which case we will need to indicate to the SDK team additional items to be added to the docs.</p></div>{html}",1
"Create Project References Property Page
{html}<div><p>Create property page for project which allows manipulation of embedded references. User can add or remove references from the filesystem or URL (if possible).</p> <p>There may well be an established metaphor or existing page in PHP, PDT, JSDT or elsewhere. Investigate reusing this page is possible or appropriate.</p></div>{html}",1
"New Desktop Project Wizard
{html}<div><p>Desktop (need to convert existing project creation code to Java). Some items here: <a href= ""https://github.com/appcelerator/titanium_developer/blob/master/Resources/js/project.js#L551""> https://github.com/appcelerator/titanium_developer/blob/master/Reso...</a>. Others here: <a href= ""https://github.com/appcelerator/titanium_developer/blob/master/Resources/perspectives/projects/js/projects.js""> https://github.com/appcelerator/titanium_developer/blob/master/Reso...</a>.</p></div>{html}",1
"Launch application on Blackberry emulator
{html}<div><p>Note that some emulators are platform-specific, so we need to restrict usage as appropriate. Create launch configuration to run the application on the appropriate device emulator. Copy options from TiDev 1 as appropriate</p></div>{html}",1
"Launch application on iOS device (tethered)
{html}<div><p>Replicate experience from TiDev 1, creating a launch configuration as appropriate.</p></div>{html}",1
"Launch application on Android device (tethered)
{html}<div><p>Check for items below as part of launch configuration, but if not correct, we would open preference page</p></div>{html}",1
"Create packager for Desktop project
{html}<div><p>Desktop, send ZIP file to web service to package, poll to see if process completed. Embed web page with links to completed build.</p></div>{html}",1
"Create packager for Mobile/iOS project
{html}<div><p>Follow existing screens/workflow as appropriate. Launch wizard from right-click menu in App Explorer and button on App Explorer top bar.</p></div>{html}",1
"Show remote samples in Samples View
{html}<div><p>Allow alternate list of samples pulled from remote server. Others would be cloned from github repo on demand using code from rubles.</p></div>{html}",1
"Add Titanium Samples
{html}<div><p>Short list of pre-packaged samples included with Titanium Developer plugin. Kitchen Sink is the obvious one.</p></div>{html}",1
"Convert Titanium Ruble and package with Titanium Plugin
{html}<div><p>Convert existing Titanium Mobile Ruble to Aptana format. <a href=""https://github.com/subtleGradient/JavaScript-Appcelerator-Titanium-Mobile.tmbundle""> https://github.com/subtleGradient/JavaScript-Appcelerator-Titanium-...</a>. Have to double-check license--may need to ask for permission.</p></div>{html}",1
"Add Sample Titanium templates
{html}<div><p>Add in template directory, add some sample templates per Titanium projects. No specific suggestions, but perhaps there is something the SDK team could suggest, at least a placeholder to the ruble so more can be added later by others.</p></div>{html}",1
"Auto-update of Titanium SDK
{html}<div><p>Ping web service for newer versions of SDK. If present, download and unzip into proper directory, Shalom suggests reusing parts of portal code.</p></div>{html}",1
"Launch debugger against emulators
{html}<div><p>Add button to App Explorer to help in debugging the current project. Similar to launching against Firefox debugger, so screens are similar.</p></div>{html}",1
"Launch debuggers against device (tethered)
{html}<div><p>Similar to other debugging options.</p></div>{html}",1
"Add iframe for Ad Content to Welcome/Dashboard screen
Retrieve content for frame from similar location as in TiDev. Assume some static content for offline mode.",1
"Create new Titanium Studio Splash Screen
There is a placeholder image for now (titanium_studio/plugins/com.appcelerator.titanium.rcp/splash.bmp) but needs replacement. We can replace the existing size, or use a new different size, but we'll just need to configure a few new options:  http://www.vogella.de/articles/EclipseRCP/article.html#product_splash",1
"Allow users to install new Mobile/Desktop/etc SDKs
{html}<div><p>Let users easily grab the latest mobile or Desktop SDK, install it into their machine, etc.</p></div>{html}",1
