Issue,Storypoint
"Report executor terminations to framework schedulers.
The Scheduler interface has a callback for executorLost, but currently it is never called.",2
"Mesos slave should cache executors
The slave should be smarter about how it handles pulling down executors.  In our environment, executors rarely change but the slave will always pull it down from regardless HDFS.  This puts undue stress on our HDFS clusters, and is not resilient to reduced HDFS availability.",5
"Expose TASK_FAILED reason to Frameworks.
We now have a message string inside TaskStatus that provides human readable information about TASK_FAILED.    It would be good to add some structure to the failure reasons, for framework schedulers to act on programmatically.    E.g.    enum TaskFailure {    EXECUTOR_OOM;    EXECUTOR_OUT_OF_DISK;    EXECUTOR_TERMINATED;    SLAVE_LOST;    etc..  }",8
"Balloon framework fails to run due to bad flags
I suspect this has to do with the latest flags refactor.    [vinod@smfd-bkq-03-sr4 build]$  sudo GLOG_v=1 ./bin/mesos-tests.sh --gtest_filter=""*Balloon*"" --verbose  WARNING: Logging before InitGoogleLogging() is written to STDERR  I0529 22:28:13.094351 31506 process.cpp:1426] libprocess is initialized on 10.37.184.103:53425 for 24 cpus  I0529 22:28:13.095010 31506 logging.cpp:91] Logging to STDERR  Source directory: /home/vinod/mesos  Build directory: /home/vinod/mesos/build  -------------------------------------------------------------  We cannot run any cgroups tests that require mounting  hierarchies because you have the following hierarchies mounted:  /cgroup  We'll disable the CgroupsNoHierarchyTest test fixture for now.  -------------------------------------------------------------  Note: Google Test filter = *Balloon*-CgroupsNoHierarchyTest.ROOT_CGROUPS_NOHIERARCHY_MountUnmountHierarchy:  [==========] Running 1 test from 1 test case.  [----------] Global test environment set-up.  [----------] 1 test from CgroupsIsolatorTest  [ RUN      ] CgroupsIsolatorTest.ROOT_CGROUPS_BalloonFramework  Using temporary directory '/tmp/CgroupsIsolatorTest_ROOT_CGROUPS_BalloonFramework_pWWdE1'  Launched master at 31574  Failed to load unknown flag 'build_dir'  Usage: lt-mesos-master [...]    Supported options:    --allocation_interval=VALUE     Amount of time to wait between performing                                     (batch) allocations (e.g., 500ms, 1sec, etc) (default: 1secs)    --cluster=VALUE                 Human readable name for the cluster,                                    displayed in the webui    --framework_sorter=VALUE        Policy to use for allocating resources                                    between a given user's frameworks. Options                                    are the same as for user_allocator (default: drf)    --[no-]help                     Prints this help message (default: false)    --ip=VALUE                      IP address to listen on    --log_dir=VALUE                 Location to put log files (no default, nothing                                    is written to disk unless specified;                                    does not affect logging to stderr)    --logbufsecs=VALUE              How many seconds to buffer log messages for (default: 0)    --port=VALUE                    Port to listen on (default: 5050)    --[no-]quiet                    Disable logging to stderr (default: false)    --[no-]root_submissions         Can root submit frameworks? (default: true)    --slaves=VALUE                  Initial slaves that should be                                    considered part of this cluster                                    (or if using ZooKeeper a URL) (default: *)    --user_sorter=VALUE             Policy to use for allocating resources                                    between users. May be one of:                                      dominant_resource_fairness (drf) (default: drf)    --webui_dir=VALUE               Location of the webui files/assets (default: /usr/local/share/mesos/webui)    --whitelist=VALUE               Path to a file with a list of slaves                                    (one per line) to advertise offers for;                                    should be of the form: file://path/to/file (default: *)    --zk=VALUE                      ZooKeeper URL (used for leader election amongst masters)                                    May be one of:                                      zk://host1:port1,host2:port2,.../path                                      zk://username:password@host1:port1,host2:port2,.../path                                      file://path/to/file (where file contains one of the above) (default: )  {RED}Master crashed; failing test  /home/vinod/mesos/src/tests/balloon_framework_test.sh: line 31: kill: (31574) - No such process  ../../src/tests/script.cpp:76: Failure  Failed  balloon_framework_test.sh exited with status 2  [  FAILED  ] CgroupsIsolatorTest.ROOT_CGROUPS_BalloonFramework (2031 ms)  [----------] 1 test from CgroupsIsolatorTest (2031 ms total)    [----------] Global test environment tear-down  [==========] 1 test from 1 test case ran. (2031 ms total)  [  PASSED  ] 0 tests.  [  FAILED  ] 1 test, listed below:  [  FAILED  ] CgroupsIsolatorTest.ROOT_CGROUPS_BalloonFramework     1 FAILED TEST  ",1
"Also check 'git diff --shortstat --staged' in post-reviews.py.
We current check if you have any changes before we run post-reviews.py but we don't check for staged changes which IIUC could get lost.",1
"Static files missing ""Last-Modified"" HTTP headers
Static assets served by the Mesos master don't return ""Last-Modified"" HTTP headers. That means clients receive a 200 status code and re-download assets on every page request even if the assets haven't changed. Because Angular JS does most of the work, the downloading happens only when you navigate to Mesos master in your browser or use the browser's refresh.    Example header for ""mesos.css"":        HTTP/1.1 200 OK      Date: Thu, 26 Sep 2013 17:18:52 GMT      Content-Length: 1670      Content-Type: text/css    Clients sometimes use the ""Date"" header for the same effect as ""Last-Modified"", but the date is always the time of the response from the server, i.e. it changes on every request and makes the assets look new every time.    The ""Last-Modified"" header should be added and should be the last modified time of the file. On subsequent requests for the same files, the master should return 304 responses with no content rather than 200 with the full files. It could save clients a lot of download time since Mesos assets are rather heavyweight.",2
"Expose total number of resources allocated to the slave in its endpoint
This could be useful information if there are bugs in master/slave that causes slaves to overcommit its resources.",2
"SlaveRecoveryTest/0.ReconcileTasksMissingFromSlave test is flaky
[ RUN      ] SlaveRecoveryTest/0.ReconcileTasksMissingFromSlave  Checkpointing executor's forked pid 32281 to '/tmp/SlaveRecoveryTest_0_ReconcileTasksMissingFromSlave_NT1btb/meta/slaves/201310151913-16777343-35153-31491-0/frameworks/201310151913-16777343-35153-31491-0000/executors/0514b52f-3c17-4ee5-ba16-635198701ca2/runs/97c9e2cc-ceea-40a8-a915-aed5fed1dcb3/pids/forked.pid'  Fetching resources into '/tmp/SlaveRecoveryTest_0_ReconcileTasksMissingFromSlave_NT1btb/slaves/201310151913-16777343-35153-31491-0/frameworks/201310151913-16777343-35153-31491-0000/executors/0514b52f-3c17-4ee5-ba16-635198701ca2/runs/97c9e2cc-ceea-40a8-a915-aed5fed1dcb3'  Registered executor on localhost.localdomain  Starting task 0514b52f-3c17-4ee5-ba16-635198701ca2  Forked command at 32317  sh -c 'sleep 10'  tests/slave_recovery_tests.cpp:1927: Failure  Mock function called more times than expected - returning directly.      Function call: statusUpdate(0x7fffae636eb0, @0x7f1590027a00 64-byte object <F0-2F D0-A1 15-7F 00-00 00-00 00-00 00-00 00-00 40-E9 01-90 15-7F 00-00 20-6B 03-90 15-7F 00-00 48-91 C3-00 00-00 00-00 B0-3B 01-90 15-7F 00-00 05-00 00-00 00-00 00-00 17-00 00-00 00-00 00-00>)           Expected: to be called once             Actual: called twice - over-saturated and active  Command exited with status 0 (pid: 32317)  ",1
"Update semantics of when framework registered()/reregistered() get called
Current semantics:    1) Framework connects w/ master very first time --> registered()  2) Framework reconnects w/ same master after a zk blip --> reregistered()  3) Framework reconnects w/ failed over master --> registered()  4) Failed over framework connects w/ same master --> registered()  5) Failed over framework connects w/ failed over master --> registered()     Updated semantics:    Everything same except   3) Framework reconnects w/ failed over master --> reregistered()",3
"ExamplesTest.JavaFramework is flaky
Identify the cause of the following test failure:    [ RUN      ] ExamplesTest.JavaFramework  Using temporary directory '/tmp/ExamplesTest_JavaFramework_wSc7u8'  Enabling authentication for the framework  I1120 15:13:39.820032 1681264640 master.cpp:285] Master started on 172.25.133.171:52576  I1120 15:13:39.820180 1681264640 master.cpp:299] Master ID: 201311201513-2877626796-52576-3234  I1120 15:13:39.820194 1681264640 master.cpp:302] Master only allowing authenticated frameworks to register!  I1120 15:13:39.821197 1679654912 slave.cpp:112] Slave started on 1)@172.25.133.171:52576  I1120 15:13:39.821795 1679654912 slave.cpp:212] Slave resources: cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000]  I1120 15:13:39.822855 1682337792 slave.cpp:112] Slave started on 2)@172.25.133.171:52576  I1120 15:13:39.823652 1682337792 slave.cpp:212] Slave resources: cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000]  I1120 15:13:39.825330 1679118336 master.cpp:744] The newly elected leader is master@172.25.133.171:52576  I1120 15:13:39.825445 1679118336 master.cpp:748] Elected as the leading master!  I1120 15:13:39.825907 1681264640 state.cpp:33] Recovering state from '/tmp/ExamplesTest_JavaFramework_wSc7u8/0/meta'  I1120 15:13:39.826127 1681264640 status_update_manager.cpp:180] Recovering status update manager  I1120 15:13:39.826331 1681801216 process_isolator.cpp:317] Recovering isolator  I1120 15:13:39.826738 1682874368 slave.cpp:2743] Finished recovery  I1120 15:13:39.827747 1682337792 state.cpp:33] Recovering state from '/tmp/ExamplesTest_JavaFramework_wSc7u8/1/meta'  I1120 15:13:39.827945 1680191488 slave.cpp:112] Slave started on 3)@172.25.133.171:52576  I1120 15:13:39.828415 1682337792 status_update_manager.cpp:180] Recovering status update manager  I1120 15:13:39.828608 1680728064 sched.cpp:260] Authenticating with master master@172.25.133.171:52576  I1120 15:13:39.828606 1680191488 slave.cpp:212] Slave resources: cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000]  I1120 15:13:39.828680 1682874368 slave.cpp:497] New master detected at master@172.25.133.171:52576  I1120 15:13:39.828765 1682337792 process_isolator.cpp:317] Recovering isolator  I1120 15:13:39.829828 1680728064 sched.cpp:229] Detecting new master  I1120 15:13:39.830288 1679654912 authenticatee.hpp:100] Initializing client SASL  I1120 15:13:39.831635 1680191488 state.cpp:33] Recovering state from '/tmp/ExamplesTest_JavaFramework_wSc7u8/2/meta'  I1120 15:13:39.831991 1679118336 status_update_manager.cpp:158] New master detected at master@172.25.133.171:52576  I1120 15:13:39.832042 1682874368 slave.cpp:524] Detecting new master  I1120 15:13:39.832314 1682337792 slave.cpp:2743] Finished recovery  I1120 15:13:39.832309 1681264640 master.cpp:1266] Attempting to register slave on vkone.local at slave(1)@172.25.133.171:52576  I1120 15:13:39.832929 1680728064 status_update_manager.cpp:180] Recovering status update manager  I1120 15:13:39.833371 1681801216 slave.cpp:497] New master detected at master@172.25.133.171:52576  I1120 15:13:39.833273 1681264640 master.cpp:2513] Adding slave 201311201513-2877626796-52576-3234-0 at vkone.local with cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000]  I1120 15:13:39.833595 1680728064 process_isolator.cpp:317] Recovering isolator  I1120 15:13:39.833859 1681801216 slave.cpp:524] Detecting new master  I1120 15:13:39.833861 1682874368 status_update_manager.cpp:158] New master detected at master@172.25.133.171:52576  I1120 15:13:39.834092 1680191488 slave.cpp:542] Registered with master master@172.25.133.171:52576; given slave ID 201311201513-2877626796-52576-3234-0  I1120 15:13:39.834486 1681264640 master.cpp:1266] Attempting to register slave on vkone.local at slave(2)@172.25.133.171:52576  I1120 15:13:39.834549 1681264640 master.cpp:2513] Adding slave 201311201513-2877626796-52576-3234-1 at vkone.local with cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000]  I1120 15:13:39.834750 1680191488 slave.cpp:555] Checkpointing SlaveInfo to '/tmp/ExamplesTest_JavaFramework_wSc7u8/0/meta/slaves/201311201513-2877626796-52576-3234-0/slave.info'  I1120 15:13:39.834875 1682874368 hierarchical_allocator_process.hpp:445] Added slave 201311201513-2877626796-52576-3234-0 (vkone.local) with cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000] (and cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000] available)  I1120 15:13:39.835155 1680728064 slave.cpp:542] Registered with master master@172.25.133.171:52576; given slave ID 201311201513-2877626796-52576-3234-1  I1120 15:13:39.835458 1679118336 slave.cpp:2743] Finished recovery  I1120 15:13:39.835739 1680728064 slave.cpp:555] Checkpointing SlaveInfo to '/tmp/ExamplesTest_JavaFramework_wSc7u8/1/meta/slaves/201311201513-2877626796-52576-3234-1/slave.info'  I1120 15:13:39.835922 1682874368 hierarchical_allocator_process.hpp:445] Added slave 201311201513-2877626796-52576-3234-1 (vkone.local) with cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000] (and cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000] available)  I1120 15:13:39.836120 1681264640 slave.cpp:497] New master detected at master@172.25.133.171:52576  I1120 15:13:39.836340 1679118336 status_update_manager.cpp:158] New master detected at master@172.25.133.171:52576  I1120 15:13:39.836436 1681264640 slave.cpp:524] Detecting new master  I1120 15:13:39.836629 1682874368 master.cpp:1266] Attempting to register slave on vkone.local at slave(3)@172.25.133.171:52576  I1120 15:13:39.836653 1682874368 master.cpp:2513] Adding slave 201311201513-2877626796-52576-3234-2 at vkone.local with cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000]  I1120 15:13:39.836804 1680728064 slave.cpp:542] Registered with master master@172.25.133.171:52576; given slave ID 201311201513-2877626796-52576-3234-2  I1120 15:13:39.837190 1680728064 slave.cpp:555] Checkpointing SlaveInfo to '/tmp/ExamplesTest_JavaFramework_wSc7u8/2/meta/slaves/201311201513-2877626796-52576-3234-2/slave.info'  I1120 15:13:39.837569 1682874368 hierarchical_allocator_process.hpp:445] Added slave 201311201513-2877626796-52576-3234-2 (vkone.local) with cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000] (and cpus(*):4; mem(*):7168; disk(*):481998; ports(*):[31000-32000] available)  I1120 15:13:39.852011 1679654912 authenticatee.hpp:124] Creating new client SASL connection  I1120 15:13:39.852219 1680191488 master.cpp:1734] Authenticating framework at scheduler(1)@172.25.133.171:52576  I1120 15:13:39.852577 1682337792 authenticator.hpp:83] Initializing server SASL  I1120 15:13:39.856160 1682337792 authenticator.hpp:140] Creating new server SASL connection  I1120 15:13:39.856334 1681264640 authenticatee.hpp:212] Received SASL authentication mechanisms: CRAM-MD5  I1120 15:13:39.856360 1681264640 authenticatee.hpp:238] Attempting to authenticate with mechanism 'CRAM-MD5'  I1120 15:13:39.856421 1681264640 authenticator.hpp:243] Received SASL authentication start  I1120 15:13:39.856487 1681264640 authenticator.hpp:325] Authentication requires more steps  I1120 15:13:39.856531 1681264640 authenticatee.hpp:258] Received SASL authentication step  I1120 15:13:39.856576 1681264640 authenticator.hpp:271] Received SASL authentication step  I1120 15:13:39.856643 1681264640 authenticator.hpp:317] Authentication success  I1120 15:13:39.856724 1681264640 authenticatee.hpp:298] Authentication success  I1120 15:13:39.856768 1681264640 master.cpp:1774] Successfully authenticated framework at scheduler(1)@172.25.133.171:52576  I1120 15:13:39.857028 1681264640 sched.cpp:334] Successfully authenticated with master master@172.25.133.171:52576  I1120 15:13:39.857139 1681264640 master.cpp:798] Received registration request from scheduler(1)@172.25.133.171:52576  I1120 15:13:39.857306 1681264640 master.cpp:816] Registering framework 201311201513-2877626796-52576-3234-0000 at scheduler(1)@172.25.133.171:52576  I1120 15:13:39.862296 1680191488 hierarchical_allocator_process.hpp:332] Added framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.863867 1680191488 master.cpp:1700] Sending 3 offers to framework 201311201513-2877626796-52576-3234-0000  Registered! ID = 201311201513-2877626796-52576-3234-0000  Launching task 0  Launching task 1  Launching task 2  I1120 15:13:39.905390 1680191488 master.cpp:2026] Processing reply for offer 201311201513-2877626796-52576-3234-0 on slave 201311201513-2877626796-52576-3234-1 (vkone.local) for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.905825 1680191488 master.hpp:400] Adding task 0 with resources cpus(*):1; mem(*):128 on slave 201311201513-2877626796-52576-3234-1 (vkone.local)  I1120 15:13:39.905886 1680191488 master.cpp:2150] Launching task 0 of framework 201311201513-2877626796-52576-3234-0000 with resources cpus(*):1; mem(*):128 on slave 201311201513-2877626796-52576-3234-1 (vkone.local)  I1120 15:13:39.906422 1680191488 master.cpp:2026] Processing reply for offer 201311201513-2877626796-52576-3234-1 on slave 201311201513-2877626796-52576-3234-2 (vkone.local) for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.906664 1680191488 master.hpp:400] Adding task 1 with resources cpus(*):1; mem(*):128 on slave 201311201513-2877626796-52576-3234-2 (vkone.local)  I1120 15:13:39.906721 1680191488 master.cpp:2150] Launching task 1 of framework 201311201513-2877626796-52576-3234-0000 with resources cpus(*):1; mem(*):128 on slave 201311201513-2877626796-52576-3234-2 (vkone.local)  I1120 15:13:39.907171 1680191488 master.cpp:2026] Processing reply for offer 201311201513-2877626796-52576-3234-2 on slave 201311201513-2877626796-52576-3234-0 (vkone.local) for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.907419 1680191488 master.hpp:400] Adding task 2 with resources cpus(*):1; mem(*):128 on slave 201311201513-2877626796-52576-3234-0 (vkone.local)  I1120 15:13:39.907480 1680191488 master.cpp:2150] Launching task 2 of framework 201311201513-2877626796-52576-3234-0000 with resources cpus(*):1; mem(*):128 on slave 201311201513-2877626796-52576-3234-0 (vkone.local)  I1120 15:13:39.907938 1680191488 slave.cpp:722] Got assigned task 0 for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.908473 1680191488 slave.cpp:833] Launching task 0 for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.914427 1682874368 slave.cpp:722] Got assigned task 1 for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.914594 1680728064 slave.cpp:722] Got assigned task 2 for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.914844 1681801216 hierarchical_allocator_process.hpp:590] Framework 201311201513-2877626796-52576-3234-0000 filtered slave 201311201513-2877626796-52576-3234-1 for 1secs  I1120 15:13:39.915292 1682874368 slave.cpp:833] Launching task 1 for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.915424 1681801216 hierarchical_allocator_process.hpp:590] Framework 201311201513-2877626796-52576-3234-0000 filtered slave 201311201513-2877626796-52576-3234-2 for 1secs  I1120 15:13:39.915685 1681801216 hierarchical_allocator_process.hpp:590] Framework 201311201513-2877626796-52576-3234-0000 filtered slave 201311201513-2877626796-52576-3234-0 for 1secs  I1120 15:13:39.915828 1680728064 slave.cpp:833] Launching task 2 for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.917840 1680191488 slave.cpp:943] Queuing task '0' for executor default of framework '201311201513-2877626796-52576-3234-0000  I1120 15:13:39.917935 1679118336 process_isolator.cpp:100] Launching default (/Users/vinod/workspace/apache/mesos/build/src/examples/java/test-executor) in /tmp/ExamplesTest_JavaFramework_wSc7u8/1/slaves/201311201513-2877626796-52576-3234-1/frameworks/201311201513-2877626796-52576-3234-0000/executors/default/runs/375b31a9-7093-4db1-964d-e6b425b1e4b4 with resources ' for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.922019 1679118336 process_isolator.cpp:163] Forked executor at 3268  I1120 15:13:39.922703 1679118336 slave.cpp:2073] Monitoring executor default of framework 201311201513-2877626796-52576-3234-0000 forked at pid 3268  I1120 15:13:39.929134 1682874368 slave.cpp:943] Queuing task '1' for executor default of framework '201311201513-2877626796-52576-3234-0000  I1120 15:13:39.929323 1682874368 process_isolator.cpp:100] Launching default (/Users/vinod/workspace/apache/mesos/build/src/examples/java/test-executor) in /tmp/ExamplesTest_JavaFramework_wSc7u8/2/slaves/201311201513-2877626796-52576-3234-2/frameworks/201311201513-2877626796-52576-3234-0000/executors/default/runs/2bd0e75d-a2b9-4ae6-be08-9782612309a5 with resources ' for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.931243 1682874368 process_isolator.cpp:163] Forked executor at 3269  I1120 15:13:39.931612 1681801216 slave.cpp:2073] Monitoring executor default of framework 201311201513-2877626796-52576-3234-0000 forked at pid 3269  E1120 15:13:39.931836 1681801216 slave.cpp:2099] Failed to watch executor default of framework 201311201513-2877626796-52576-3234-0000: Already watched  I1120 15:13:39.936460 1680728064 slave.cpp:943] Queuing task '2' for executor default of framework '201311201513-2877626796-52576-3234-0000  I1120 15:13:39.936619 1681801216 process_isolator.cpp:100] Launching default (/Users/vinod/workspace/apache/mesos/build/src/examples/java/test-executor) in /tmp/ExamplesTest_JavaFramework_wSc7u8/0/slaves/201311201513-2877626796-52576-3234-0/frameworks/201311201513-2877626796-52576-3234-0000/executors/default/runs/16d600da-da86-4614-91cb-58a7b27ab534 with resources ' for framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:39.941299 1681801216 process_isolator.cpp:163] Forked executor at 3270  I1120 15:13:39.942179 1681801216 slave.cpp:2073] Monitoring executor default of framework 201311201513-2877626796-52576-3234-0000 forked at pid 3270  E1120 15:13:39.942395 1681801216 slave.cpp:2099] Failed to watch executor default of framework 201311201513-2877626796-52576-3234-0000: Already watched  Fetching resources into '/tmp/ExamplesTest_JavaFramework_wSc7u8/2/slaves/201311201513-2877626796-52576-3234-2/frameworks/201311201513-2877626796-52576-3234-0000/executors/default/runs/2bd0e75d-a2b9-4ae6-be08-9782612309a5'  Fetching resources into '/tmp/ExamplesTest_JavaFramework_wSc7u8/1/slaves/201311201513-2877626796-52576-3234-1/frameworks/201311201513-2877626796-52576-3234-0000/executors/default/runs/375b31a9-7093-4db1-964d-e6b425b1e4b4'  Fetching resources into '/tmp/ExamplesTest_JavaFramework_wSc7u8/0/slaves/201311201513-2877626796-52576-3234-0/frameworks/201311201513-2877626796-52576-3234-0000/executors/default/runs/16d600da-da86-4614-91cb-58a7b27ab534'  I1120 15:13:40.372573 1681801216 slave.cpp:1406] Got registration for executor 'default' of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.373258 1681801216 slave.cpp:1527] Flushing queued task 1 for executor 'default' of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.388317 1681801216 slave.cpp:1406] Got registration for executor 'default' of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.388983 1681801216 slave.cpp:1527] Flushing queued task 0 for executor 'default' of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.398084 1679654912 slave.cpp:1406] Got registration for executor 'default' of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.399344 1679654912 slave.cpp:1527] Flushing queued task 2 for executor 'default' of framework 201311201513-2877626796-52576-3234-0000  Registered executor on vkone.local  I1120 15:13:40.491843 1679654912 slave.cpp:1740] Handling status update TASK_RUNNING (UUID: f04b1852-3669-444a-906f-3675f784c14f) for task 1 of framework 201311201513-2877626796-52576-3234-0000 from executor(1)@172.25.133.171:52577  I1120 15:13:40.492202 1679654912 status_update_manager.cpp:305] Received status update TASK_RUNNING (UUID: f04b1852-3669-444a-906f-3675f784c14f) for task 1 of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.492424 1679654912 status_update_manager.cpp:356] Forwarding status update TASK_RUNNING (UUID: f04b1852-3669-444a-906f-3675f784c14f) for task 1 of framework 201311201513-2877626796-52576-3234-0000 to master@172.25.133.171:52576  Registered executor on vkone.local  I1120 15:13:40.492671 1682337792 master.cpp:1452] Status update TASK_RUNNING (UUID: f04b1852-3669-444a-906f-3675f784c14f) for task 1 of framework 201311201513-2877626796-52576-3234-0000 from slave(3)@172.25.133.171:52576  I1120 15:13:40.492735 1682337792 slave.cpp:1865] Sending acknowledgement for status update TASK_RUNNING (UUID: f04b1852-3669-444a-906f-3675f784c14f) for task 1 of framework 201311201513-2877626796-52576-3234-0000 to executor(1)@172.25.133.171:52577  Status update: task 1 is in state TASK_RUNNING  I1120 15:13:40.502235 1679654912 status_update_manager.cpp:380] Received status update acknowledgement (UUID: f04b1852-3669-444a-906f-3675f784c14f) for task 1 of framework 201311201513-2877626796-52576-3234-0000  Registered executor on vkone.local  I1120 15:13:40.531292 1679654912 slave.cpp:1740] Handling status update TASK_RUNNING (UUID: c19b6a5a-19ce-4613-8a5a-08fe807ff27c) for task 2 of framework 201311201513-2877626796-52576-3234-0000 from executor(1)@172.25.133.171:52579  I1120 15:13:40.532091 1680728064 status_update_manager.cpp:305] Received status update TASK_RUNNING (UUID: c19b6a5a-19ce-4613-8a5a-08fe807ff27c) for task 2 of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.532305 1680728064 status_update_manager.cpp:356] Forwarding status update TASK_RUNNING (UUID: c19b6a5a-19ce-4613-8a5a-08fe807ff27c) for task 2 of framework 201311201513-2877626796-52576-3234-0000 to master@172.25.133.171:52576  I1120 15:13:40.532776 1682874368 slave.cpp:1865] Sending acknowledgement for status update TASK_RUNNING (UUID: c19b6a5a-19ce-4613-8a5a-08fe807ff27c) for task 2 of framework 201311201513-2877626796-52576-3234-0000 to executor(1)@172.25.133.171:52579  I1120 15:13:40.532951 1681801216 master.cpp:1452] Status update TASK_RUNNING (UUID: c19b6a5a-19ce-4613-8a5a-08fe807ff27c) for task 2 of framework 201311201513-2877626796-52576-3234-0000 from slave(1)@172.25.133.171:52576  Status update: task 2 is in state TASK_RUNNING  I1120 15:13:40.538895 1682874368 status_update_manager.cpp:380] Received status update acknowledgement (UUID: c19b6a5a-19ce-4613-8a5a-08fe807ff27c) for task 2 of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.541267 1682874368 slave.cpp:1740] Handling status update TASK_RUNNING (UUID: c218b0c3-d77c-4901-8570-391c330ba117) for task 0 of framework 201311201513-2877626796-52576-3234-0000 from executor(1)@172.25.133.171:52578  I1120 15:13:40.541555 1682874368 status_update_manager.cpp:305] Received status update TASK_RUNNING (UUID: c218b0c3-d77c-4901-8570-391c330ba117) for task 0 of framework 201311201513-2877626796-52576-3234-0000  I1120 15:13:40.541725 1682874368 status_update_manager.cpp:356] Forwarding status update TASK_RUNNING (UUID: c218b0c3-d77c-4901-8570-391c330ba117) for task 0 of framework 201311201513-2877626796-52576-3234-0000 to master@172.25.133.171:52576  I1120 15:13:40.542196 1682874368 master.cpp:1452] Status update TASK_RUNNING (UUID: c218b0c3-d77c-4901-8570-391c330ba117) for task 0 of framework 201311201513-2877626796-52576-3234-0000 from slave(2)@172.25.133.171:52576  I1120 15:13:40.542251 1682874368 slave.cpp:1865] Sending acknowledgement for status update TASK_RUNNING (UUID: c218b0c3-d77c-4901-8570-391c330ba117) for task 0 of framework 201311201513-2877626796-52576-3234-0000 to executor(1)@172.25.133.171:52578  Status update: task 0 is in state TASK_RUNNING  I1120 15:13:40.545537 1682874368 status_update_manager.cpp:380] Received status update acknowledgement (UUID: c218b0c3-d77c-4901-8570-391c330ba117) for task 0 of...",8
