,Spearman's,,
Project,SBERT-Regression,LinearSVM-Comparative,SBERT-Comparative
appceleratorstudio,0.176,0.1840,0.1809
aptanastudio,0.266,0.2835,0.2884
bamboo,0.195,0.1931,0.1844
clover,0.240,0.2483,0.2397
datamanagement,0.345,0.3232,0.3317
duracloud,0.241,0.2037,0.2433
jirasoftware,0.122,0.1346,0.1735
mesos,0.342,0.3609,0.3642
moodle,0.336,0.3836,0.3781
mule,0.242,0.2663,0.2321
mulestudio,0.227,0.2455,0.2439
springxd,0.283,0.3009,0.3169
talenddataquality,0.304,0.2683,0.2329
talendesb,0.385,0.4027,0.3914
titanium,0.181,0.1938,0.1554
usergrid,0.229,0.2278,0.2046
Average,0.257,0.2638,0.2601
