Data,SBERT-Regression,Linear-SVM,SBERT-Comparative
appceleratorstudio,0.1808,0.2786,0.2866
aptanastudio,0.2419,0.1680,0.2400
bamboo,0.0536,0.2114,0.0953
clover,0.3701,0.3834,0.4006
datamanagement,0.3846,0.3974,0.3864
duracloud,0.3969,0.3792,0.3939
jirasoftware,0.5222,0.4463,0.4442
mesos,0.3754,0.4218,0.4271
moodle,0.3635,0.3169,0.3574
mule,0.1523,0.2392,0.2498
mulestudio,0.1610,0.1654,0.2413
springxd,0.3556,0.3867,0.4155
talenddataquality,0.3011,0.2949,0.2393
talendesb,0.2725,0.4180,0.4567
titanium,0.2359,0.2519,0.1881
usergrid,0.2997,0.2764,0.3059
Average,0.2917,0.3147,0.3205
