,FTSVM,,GPT2SP,,llama3SP,,Ensemble Learning,,SBERT-Regression,
Data,Spearman's,MAE,Spearman's,MAE,Spearman's,MAE,Spearman's,MAE,Spearman's,MAE
appceleratorstudio,0.2812,1.4443,0.1489,1.1288,0.2145,1.7345,0.1540,1.5590,0.1808,1.9556
aptanastudio,0.1669,3.4687,0.0050,2.2506,0.2587,4.0705,0.0278,3.5914,0.2419,3.5327
bamboo,0.1160,0.8425,0.1449,0.6118,0.2587,1.1028,-0.2014,0.7751,0.0536,1.1162
clover,0.2026,3.6959,0.2668,2.2477,0.2587,4.3090,0.2921,3.7093,0.3701,3.8498
datamanagement,0.4354,5.8862,0.3410,3.8146,0.2869,6.3483,0.1341,6.2401,0.3846,6.1550
duracloud,0.3089,0.7085,0.2669,0.5697,0.2694,1.0331,-0.0286,0.8215,0.3969,0.8297
jirasoftware,0.1599,1.7541,0.1213,1.3050,0.2587,2.2386,0.0371,1.8610,0.5222,1.6456
mesos,0.3141,1.1013,0.3227,0.8894,0.2802,1.3620,0.0387,1.2156,0.3754,1.2379
moodle,0.1712,7.2921,0.4291,5.3546,0.2674,10.6436,-0.0927,6.4781,0.3635,7.5738
mule,0.2536,2.4483,0.1785,1.7313,0.2847,2.3653,-0.0901,2.4663,0.1523,2.7160
mulestudio,0.1856,3.6092,-0.1150,1.5632,0.2839,3.6967,-0.1309,3.6755,0.1610,4.0388
springxd,0.4231,1.6833,0.2261,1.2182,0.2587,1.9208,0.0810,1.7208,0.3556,1.6968
talenddataquality,0.2281,3.3422,0.4097,1.7789,0.2694,4.2178,-0.0287,3.2028,0.3011,3.6867
talendesb,0.4641,0.8134,0.4161,0.4507,0.2891,1.0540,0.4907,0.8468,0.2725,1.0657
titanium,0.1059,2.2120,0.1582,2.0910,0.2587,2.9379,-0.0178,2.0529,0.2359,2.4294
usergrid,0.2891,1.1840,0.3851,0.4911,0.2815,1.4724,0.3050,1.1564,0.2997,1.2046
Average,0.2566,2.5929,0.2316,1.7185,0.2675,3.1567,0.0661,2.5672,0.2917,2.7959
